"","tractce10","lon","lat","conservation","roofs_2012"
"244",490902,-87.6153262260482,41.7032800836919,0,0
"245",61800,-87.6471131894712,41.9464894926902,1,0
"246",490901,-87.6162676638785,41.6960581914048,0,0
"247",650302,-87.7177493343709,41.7750953125375,0,0
"248",831900,-87.6687906528268,41.9451690350972,0,0
"249",830600,-87.6735737807672,42.0016979854285,0,1
"250",830900,-87.6853727590746,41.9286296954826,0,1
"251",830700,-87.6591717036945,41.9609724592608,0,3
"252",300900,-87.7026992699607,41.8481795894296,0,0
"253",700501,-87.6903422410364,41.7462132710157,0,1
"254",460302,-87.5573904708206,41.7470862379422,0,0
"255",431302,-87.562785923271,41.7583854545923,0,0
"256",222900,-87.7200743986962,41.9155643534834,0,0
"257",431301,-87.5601863343233,41.7535302254979,0,0
"258",440101,-87.6013946083091,41.7486349108787,0,0
"259",301803,-87.7278708388421,41.8395496976581,0,0
"260",310200,-87.6442092398778,41.8563085124314,0,0
"261",310300,-87.6489803678999,41.856139794013,0,2
"262",310500,-87.6547525224362,41.8552251076931,0,0
"263",510300,-87.5749725776755,41.7157376373162,0,2
"264",491400,-87.6168214714549,41.6891232425741,0,0
"265",500200,-87.600302363854,41.7008557652592,0,0
"266",530200,-87.6323954025481,41.6815612391502,0,0
"267",740100,-87.698608340402,41.6972858840854,0,0
"268",140500,-87.731831896937,41.965361904222,0,0
"269",140800,-87.702775072071,41.9644941771962,0,0
"270",301100,-87.6979662319902,41.8470211546611,0,0
"271",150200,-87.7524130889307,41.9606746749928,0,2
"272",150300,-87.7622858822677,41.9605178732458,0,0
"273",301200,-87.6914770645408,41.8484171023865,0,0
"274",740400,-87.7193158307653,41.6872390963838,0,0
"275",20400,-87.6859126269965,42.008486898946,1,0
"276",640300,-87.7716352722069,41.7815321211134,0,0
"277",640600,-87.7714298391876,41.7760362325441,0,0
"278",10400,-87.657166374938,42.0054398339986,1,2
"279",71800,-87.6459659855749,41.9145854596686,1,1
"280",160300,-87.7308957602867,41.9572681671619,0,0
"281",310700,-87.664906114834,41.8559902742536,0,0
"282",71500,-87.6267627389402,41.9149144496445,1,1
"283",71700,-87.6410717518989,41.9128666229852,1,0
"284",671200,-87.6665822522046,41.7766992496782,0,0
"285",670500,-87.6764043709382,41.7865780195407,0,0
"286",670600,-87.6715771960223,41.783005446859,0,0
"287",670700,-87.6667314586344,41.7830685587898,0,0
"288",670800,-87.6618790104904,41.7831441706867,0,1
"289",670900,-87.6570220028475,41.7832123549581,0,0
"290",671100,-87.6617117653107,41.7767815276752,0,0
"291",671300,-87.6713493238833,41.7739014543598,0,0
"292",671400,-87.676228857942,41.7737920668731,0,0
"293",671500,-87.6696321560545,41.7681721299365,0,1
"294",671600,-87.6615118253316,41.7694998142007,0,0
"295",670100,-87.6572083504956,41.7904936808526,0,0
"296",230500,-87.7339492820132,41.9117235900171,0,0
"297",230600,-87.7339951346019,41.906188999924,0,1
"298",240600,-87.6897092162269,41.9121612588108,0,0
"299",241000,-87.6945344153177,41.907997752103,0,0
"300",191000,-87.7438009885526,41.9192296824757,0,0
"301",80300,-87.6357986429162,41.9074899755053,1,0
"302",300800,-87.7075818013824,41.8481108034579,0,0
"303",650200,-87.7302264524014,41.7822223732437,0,0
"304",660500,-87.7079431922706,41.7752433917034,0,0
"305",221400,-87.6945319976227,41.9208012525483,0,0
"306",161000,-87.7306829238288,41.9499766453295,0,0
"307",340600,-87.6325398409822,41.8274176743568,0,0
"308",240500,-87.6836364999552,41.9119700481945,0,1
"309",240700,-87.6945993681951,41.9121171909951,0,1
"310",240800,-87.699482164817,41.9121057355352,0,0
"311",240900,-87.7018836501082,41.9047420373653,0,0
"312",241100,-87.6895820065867,41.906667246179,0,0
"313",190300,-87.7614634514058,41.9349863874799,0,0
"314",190800,-87.7513623655711,41.9278185982458,0,0
"315",190900,-87.7441048199839,41.9279225349347,0,1
"316",191100,-87.750976331472,41.9196292698895,0,0
"317",191200,-87.7608269396439,41.9201431843831,0,1
"318",80100,-87.6267897622707,41.9075536025644,1,3
"319",80400,-87.6409020987839,41.9074115546213,1,1
"320",81000,-87.6321089280197,41.9002655075711,1,2
"321",150600,-87.771757831765,41.9494730616314,0,0
"322",301600,-87.7122520343078,41.840757155281,0,0
"323",20500,-87.6841982098571,42.0013128853424,1,0
"324",821402,-87.6521327992,41.6622752217394,0,0
"325",750300,-87.6861725593824,41.6953910797874,0,0
"326",640800,-87.7397417635262,41.7748239062985,0,0
"327",750100,-87.6520283184497,41.6958345368492,0,0
"328",740200,-87.7127052259202,41.7047145820782,0,2
"329",650400,-87.7171802763,41.7653246636436,0,0
"330",650500,-87.732057836512,41.7622538507821,0,1
"331",660600,-87.6933405937712,41.7772872802559,0,0
"332",221100,-87.7103608863146,41.9210204873335,0,0
"333",221300,-87.6997540580107,41.9211256156116,0,1
"334",221500,-87.6899513252334,41.9216468402824,0,0
"335",20100,-87.6871153774189,42.0157196485647,1,0
"336",221600,-87.6850967188006,41.9212498520961,0,0
"337",160800,-87.7128145766186,41.950213101217,0,0
"338",160900,-87.7226082323214,41.9500820496627,0,0
